number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_learning_rate,params_min_data_in_leaf,params_n_estimators,params_num_leaves,state
33,22.42391272398942,2026-04-23 23:44:43.496219,2026-04-23 23:45:37.663548,0 days 00:00:54.167329,0.7377854730482576,5,0.6298744400277259,0.014757582693043475,48,1383,117,COMPLETE
34,22.469234803517615,2026-04-23 23:45:37.664338,2026-04-23 23:46:22.014682,0 days 00:00:44.350344,0.7359520074029875,5,0.7115514998509871,0.030598017789662653,50,1151,118,COMPLETE
35,22.752375744491292,2026-04-23 23:46:22.015426,2026-04-23 23:47:10.334062,0 days 00:00:48.318636,0.7372948423711119,5,0.818265978689845,0.020488981456792534,50,1125,117,COMPLETE
36,22.509517834826955,2026-04-23 23:47:10.336227,2026-04-23 23:47:55.797322,0 days 00:00:45.461095,0.7110219738503541,4,0.7099138985975554,0.013776337430456007,43,1054,120,COMPLETE
37,23.470275351675802,2026-04-23 23:47:55.798094,2026-04-23 23:48:41.581804,0 days 00:00:45.783710,0.7353574725777614,5,0.6656331402958126,0.01527713928032064,12,1160,107,COMPLETE
38,23.750540884916976,2026-04-23 23:48:41.582543,2026-04-23 23:49:07.354562,0 days 00:00:25.772019,0.694589369981301,4,0.6305384504486878,0.011500546201293888,48,756,98,COMPLETE
39,23.464903275104547,2026-04-23 23:49:07.356216,2026-04-23 23:49:28.167217,0 days 00:00:20.811001,0.660850227391967,4,0.7133430910651183,0.02762381413869875,50,581,110,COMPLETE
40,24.03616246129135,2026-04-23 23:49:28.167929,2026-04-23 23:50:04.599508,0 days 00:00:36.431579,0.7523513709163067,6,0.7935558760195771,0.02192649902065199,16,965,94,COMPLETE
41,23.242407374905248,2026-04-23 23:50:04.600298,2026-04-23 23:51:01.450177,0 days 00:00:56.849879,0.7906332433923482,5,0.6267545598313248,0.02916716272308506,45,1360,121,COMPLETE
42,23.01468523603308,2026-04-23 23:51:01.452051,2026-04-23 23:51:57.946248,0 days 00:00:56.494197,0.8160491949582557,3,0.6605308848211088,0.032227375871091535,48,1423,107,COMPLETE
43,22.44294936833613,2026-04-23 23:51:57.947105,2026-04-23 23:52:53.040062,0 days 00:00:55.092957,0.7197360358291844,4,0.6220922592347771,0.02541021281527537,46,1364,113,COMPLETE
44,22.623458354123454,2026-04-23 23:52:53.042114,2026-04-23 23:53:42.863316,0 days 00:00:49.821202,0.6831758532333562,4,0.6205766910770487,0.0247913248680779,43,1229,121,COMPLETE
45,23.88631839507384,2026-04-23 23:53:42.864169,2026-04-23 23:54:43.533610,0 days 00:01:00.669441,0.7263567335617382,5,0.6725806155226616,0.02042114177312687,5,1490,107,COMPLETE
46,24.679950558093953,2026-04-23 23:54:43.535526,2026-04-23 23:55:04.615378,0 days 00:00:21.079852,0.7522235077087188,4,0.6169612157954634,0.01125355453428861,48,1196,41,COMPLETE
47,24.52296685400956,2026-04-23 23:55:04.616148,2026-04-23 23:55:19.521367,0 days 00:00:14.905219,0.70442124192674,7,0.6902017910725181,0.016796361314645895,45,367,127,COMPLETE
48,23.431224492439274,2026-04-23 23:55:19.522028,2026-04-23 23:56:29.226551,0 days 00:01:09.704523,0.642329832536641,5,0.8856574569826156,0.0549602740501332,32,1318,121,COMPLETE
49,22.89328516750863,2026-04-23 23:56:29.236175,2026-04-23 23:57:30.060969,0 days 00:01:00.824794,0.7538174922611831,6,0.6628130763150692,0.022587164852753933,41,1437,104,COMPLETE
