number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_subsample,state
39,22.614708582832776,2026-04-24 00:03:39.307921,2026-04-24 00:03:51.867350,0 days 00:00:12.559429,0.8169123643881292,0.01566447800585637,9,4.2144131336616315,1377,0.6202624102821083,COMPLETE
40,24.43006606329055,2026-04-24 00:03:51.868089,2026-04-24 00:03:56.992365,0 days 00:00:05.124276,0.8132871214741116,0.014699505049982162,6,4.313809648844007,986,0.6202197612948764,COMPLETE
41,22.893927244759393,2026-04-24 00:03:56.993039,2026-04-24 00:04:10.859252,0 days 00:00:13.866213,0.8295855828895399,0.01694739654199291,9,2.414293792788287,1388,0.6531693567222634,COMPLETE
42,23.29804930698045,2026-04-24 00:04:10.859935,2026-04-24 00:04:22.049287,0 days 00:00:11.189352,0.8074877169195588,0.012480480133309874,8,2.533552789259938,1384,0.6559214658009653,COMPLETE
43,23.44592052320175,2026-04-24 00:04:22.050026,2026-04-24 00:04:35.105641,0 days 00:00:13.055615,0.8325821086784904,0.017120967509458927,9,4.170675623077832,1412,0.6030418228173762,COMPLETE
44,22.841000909201696,2026-04-24 00:04:35.106375,2026-04-24 00:04:47.426953,0 days 00:00:12.320578,0.7562053606971733,0.018647083806277703,9,3.2031543552744766,1305,0.6875359467588051,COMPLETE
45,24.045215573866773,2026-04-24 00:04:47.428018,2026-04-24 00:04:55.861919,0 days 00:00:08.433901,0.7475594915220466,0.01975981604662001,7,3.2300827305082938,1316,0.6894563911733639,COMPLETE
46,26.926813197087455,2026-04-24 00:04:55.862610,2026-04-24 00:05:05.417974,0 days 00:00:09.555364,0.6950399157052342,0.19598973416398954,8,3.8595042240126363,1225,0.6720086499677072,COMPLETE
47,23.218855082649068,2026-04-24 00:05:05.418685,2026-04-24 00:05:12.869022,0 days 00:00:07.450337,0.7626915418573262,0.026800494407701395,9,5.0884999092313175,845,0.6237813492330504,COMPLETE
48,24.634225394657363,2026-04-24 00:05:12.869707,2026-04-24 00:05:20.061786,0 days 00:00:07.192079,0.7268839913062305,0.012121828262850068,7,1.6317398088920507,1123,0.6023126541024285,COMPLETE
49,24.52099604735087,2026-04-24 00:05:20.062474,2026-04-24 00:05:27.505605,0 days 00:00:07.443131,0.7979040902769433,0.016083876671802885,6,4.364180611524727,1451,0.7136875844739643,COMPLETE
