category,model,brand,ym,mean_forecast,std_forecast,cv
CSD,LightGBM,CARLSBERG SPORT,,1.161592858788143,0.4651223087578326,0.4004176723702327
CSD,LightGBM,CARLSBERG SPORT,,2.569746384594399,0.6564738574676092,0.25546250844175233
CSD,LightGBM,CARLSBERG SPORT,,0.9190839520492226,0.3224955623281966,0.35088803542826413
CSD,LightGBM,CARLSBERG SPORT,,0.8121162950222246,0.145372192678737,0.17900415687972213
CSD,LightGBM,CHUPA CHUPS,,222.64508309654698,18.898835093435384,0.08488323582353788
CSD,LightGBM,CHUPA CHUPS,,314.3821989393408,71.70250284859769,0.2280743092023238
CSD,LightGBM,CHUPA CHUPS,,170.9706445127717,33.609651768892824,0.19658141820002406
CSD,LightGBM,CHUPA CHUPS,,184.60440849886646,35.0270952894697,0.1897413803619147
CSD,LightGBM,CHUPA CHUPS,,186.87568208450165,51.217230956415534,0.2740711385511148
CSD,LightGBM,CHUPA CHUPS,,59.4921902316187,8.572583588211444,0.14409594864193312
CSD,LightGBM,CHUPA CHUPS,,34.6524420843855,9.742011083920623,0.2811349070347456
CSD,LightGBM,COCA COLA,,2997265.646101418,118845.33366988541,0.039651251407918774
CSD,LightGBM,COCA COLA,,3992054.7687263764,45759.4081351263,0.011462620326154836
CSD,LightGBM,COCA COLA,,4726799.339983938,139097.07478498766,0.029427328045928923
CSD,LightGBM,COCA COLA,,4057468.432026738,86301.93632666515,0.021269897171709268
CSD,LightGBM,COCA COLA,,4663860.353619972,108701.13532260718,0.023307116225775512
CSD,LightGBM,COCA COLA,,6382683.404873377,158652.52489271286,0.024856712268005763
CSD,LightGBM,COCA COLA,,4563543.629515001,46890.66690972514,0.010275056122276745
CSD,LightGBM,D&G,,1.0665496714919525,0.3538265344672693,0.3317487632548008
CSD,LightGBM,D&G,,0.6957004184772877,0.34084569019761685,0.48993170213069853
CSD,LightGBM,D&G,,0.5667671208089685,0.10647866845949609,0.1878702284414717
CSD,LightGBM,D&G,,1.3754030286346912,0.08210175942916645,0.059692873812169554
CSD,LightGBM,D&G,,0.3696696699427842,0.1792306744689458,0.48484008573569565
CSD,LightGBM,DEPANNEUR FRIZZANTE,,2.590223611003123,0.41513538578081643,0.16027009560770925
CSD,LightGBM,DEPANNEUR FRIZZANTE,,8.082044252963012,1.512741569061997,0.18717313611681854
CSD,LightGBM,DEPANNEUR FRIZZANTE,,4.217105936319866,0.9922334601197339,0.23528777201779863
CSD,LightGBM,DEPANNEUR FRIZZANTE,,3.2960929932407894,0.8632348831225432,0.2618963982183622
CSD,LightGBM,DEPANNEUR FRIZZANTE,,6.434470843452388,2.1169051565514874,0.328994443840804
CSD,LightGBM,DEPANNEUR FRIZZANTE,,6.480579668857912,1.5103184413429427,0.2330529857692668
CSD,LightGBM,DEPANNEUR FRIZZANTE,,10.585744050224246,5.637043071896389,0.5325126930285996
CSD,LightGBM,DOCTOR POLIDORIS,,1.1035167233418295,0.11151812748871333,0.1010570344153897
CSD,LightGBM,DOCTOR POLIDORIS,,0.9627413351734321,0.21757994361930452,0.22600041742272217
CSD,LightGBM,DOCTOR POLIDORIS,,1.4322862682739113,0.21839370448410217,0.15247908837895557
CSD,LightGBM,DOCTOR POLIDORIS,,1.0060169640721661,0.20490303768475035,0.20367751738036471
CSD,LightGBM,DOCTOR POLIDORIS,,2.0268786860928922,0.4680175927071823,0.23090557709171794
CSD,LightGBM,DOCTOR POLIDORIS,,5.004220862941281,1.3660246887030758,0.27297450015029534
CSD,LightGBM,DOCTOR POLIDORIS,,4.907287721541056,1.0027164291898438,0.2043321048383437
CSD,LightGBM,DOUBLE DUTCH,,2142.889374064774,279.72917693622423,0.13053831911332664
CSD,LightGBM,DOUBLE DUTCH,,1982.7657122401492,270.01799269568636,0.13618250054900194
CSD,LightGBM,DOUBLE DUTCH,,834.4625987753416,141.56981629090507,0.16965387843466337
CSD,LightGBM,DOUBLE DUTCH,,4426.2014050316775,773.993412900052,0.17486628873692492
CSD,LightGBM,DOUBLE DUTCH,,1525.5296857259677,101.90904608853147,0.0668024011869917
CSD,LightGBM,DOUBLE DUTCH,,2895.322494461036,768.291832693831,0.26535621995947933
CSD,LightGBM,DOUBLE DUTCH,,411.48622586991576,58.90038619544099,0.14314060226662684
CSD,LightGBM,DR PEPPER,,12850.907191322574,1128.1418767005985,0.08778694452500312
CSD,LightGBM,DR PEPPER,,19511.057712557114,1175.925029110238,0.06026967099551066
CSD,LightGBM,DR PEPPER,,14788.478806723277,1084.7737736563288,0.07335262726029393
CSD,LightGBM,DR PEPPER,,15028.650975095234,975.7536647553081,0.06492623099520248
CSD,LightGBM,DR PEPPER,,12364.63162329129,959.7036116927118,0.07761683816644528
CSD,LightGBM,DR PEPPER,,16686.42860355536,1212.4815742222254,0.07266273706788781
CSD,LightGBM,DR PEPPER,,21492.947239140918,485.2185659628013,0.022575711025762314
CSD,LightGBM,EAGLE,,0.992655729459651,0.09563105373802552,0.09633859040946853
CSD,LightGBM,EAGLE,,1.4674647930723466,0.020473747334000484,0.013951780942652653
CSD,LightGBM,EAGLE,,0.014429954055975669,0.011674340184934396,0.8090351597550561
CSD,LightGBM,EAGLE,,1.782927948653986,0.050417829643863134,0.028278108311626315
CSD,LightGBM,EAGLE,,0.866821242339064,0.019223044848335934,0.02217648104292383
CSD,LightGBM,EAGLE,,0.2592992587730935,0.007484109661045585,0.02886282705341147
CSD,LightGBM,EASIS,,1.438245497796191,0.2974261123583708,0.2067978747815403
CSD,LightGBM,EASIS,,0.624857351037614,0.3187190856943897,0.5100669539457879
CSD,LightGBM,EASIS,,5.275808527852514,1.5829004281263077,0.30002992333207695
CSD,LightGBM,EASIS,,0.05562653700807446,0.0755405247210695,1.3579943815324045
CSD,LightGBM,EASIS,,47123.44875959579,6882.763261757141,0.1460581396932583
CSD,LightGBM,EASIS,,24057.84013651225,2518.593524587801,0.1046890955420959
CSD,LightGBM,EAST IMPERIAL,,3.868232496615802,0.3469677023933398,0.08969670326095734
CSD,LightGBM,EAST IMPERIAL,,0.2371513110024716,0.17544456970484704,0.7398001257645105
CSD,LightGBM,EAST IMPERIAL,,0.20661732495375773,0.20679192088084988,1.0008450207509523
CSD,LightGBM,EAST IMPERIAL,,0.7974745991853162,0.25772648927510783,0.32317830503742184
CSD,LightGBM,EBELTOFT,,2857.5059231798505,232.65990055757916,0.08142061882366065
CSD,LightGBM,EBELTOFT,,3062.820639429659,196.45641099601497,0.06414231655190816
CSD,LightGBM,EBELTOFT,,3269.400328003159,272.63727480810326,0.08339060606096564
CSD,LightGBM,EBELTOFT,,4356.46746395345,284.1030884436712,0.06521409623609367
CSD,LightGBM,EBELTOFT,,3735.0460090958904,392.7955588496416,0.10516485148859576
CSD,LightGBM,EBELTOFT,,6669.507209625148,501.99518666483533,0.07526720803905532
CSD,LightGBM,EBELTOFT,,4240.542925272401,210.50638290720855,0.049641375318394215
CSD,LightGBM,EFFERVE,,573.4572172225866,57.86242019261321,0.10090102357218045
CSD,LightGBM,EFFERVE,,634.6018402293859,132.32727663101898,0.2085201590073981
CSD,LightGBM,EFFERVE,,466.0270708395742,53.208425223924934,0.11417453738914123
CSD,LightGBM,EFFERVE,,582.4441731056758,63.83715121637199,0.10960218019863287
CSD,LightGBM,EFFERVE,,432.7300323481207,85.4029057834725,0.1973583976135217
CSD,LightGBM,EFFERVE,,2254.135938244026,594.8149736738087,0.2638771529179248
CSD,LightGBM,EFFERVE,,1033.3881811234328,150.61768864710874,0.14575131726721213
CSD,LightGBM,EGO,,84276.2771454007,4767.861142668065,0.05657417845406413
CSD,LightGBM,EGO,,94850.38434061108,2894.906374956864,0.030520765889162377
CSD,LightGBM,EGO,,117069.63488108749,6148.375479082606,0.05251896006447588
CSD,LightGBM,EGO,,104281.81338195031,3137.211049497587,0.030083970998921974
CSD,LightGBM,EGO,,117846.21038461008,5852.895748961785,0.04966554062162812
CSD,LightGBM,EGO,,131976.87982940505,3828.1767016730755,0.02900641920479878
