model,category,brand,n_test,scorable,n_train,mean_test_units,pooled_wmape,percat_wmape,delta_wmape,pooled_mape,percat_mape,delta_mape
XGBoost,CSD,FEVER TREE,7,True,26,194381.0209428571,33.21468037787926,24.07059840045378,9.144081977425483,41.073151219155875,23.355212260861048,17.717938958294827
XGBoost,CSD,FINGERS CROSSED,7,True,26,76.1776,67.87476288929537,117.55205097297554,-49.67728808368017,70.86612908791746,111.4671282900248,-40.600999202107346
XGBoost,CSD,FRANKLIN & SONS,7,True,26,418.7142857142857,25.10999759607695,24.843007832491036,0.2669897635859151,24.1423344378132,23.38967628940479,0.7526581484084112
XGBoost,CSD,FREM,7,True,26,42434.06962857143,14.889099636209318,12.192396249347148,2.69670338686217,14.377149985454368,12.18615644204918,2.190993543405188
XGBoost,CSD,FRESH,7,True,26,42979.807157142866,37.37211669524973,36.339768713201465,1.0323479820482646,32.65238851030114,27.93694778323878,4.715440727062358
XGBoost,CSD,FRESH MOJITO,7,True,26,11283.687028571427,37.16745082676351,34.736320103830124,2.431130722933389,41.293682551288164,24.99549808666869,16.298184464619474
XGBoost,CSD,FUGLSANG,7,True,26,213.14285714285714,35.18492363732877,37.49688278893683,-2.3119591516080575,43.51285215496059,43.934414550039605,-0.4215623950790146
XGBoost,CSD,GALVANINA,7,False,26,459.142857142857,136.54124641833874,118.67322601289874,17.868020405440006,15561384248800.754,15510420274778.352,50963974022.40234
XGBoost,CSD,GAZOZ,7,True,26,33.00000000000001,85.23204935577525,53.89989958955095,31.332149766224298,167.96176847799143,100.85805534007022,67.1037131379212
XGBoost,CSD,GUARANA ANARCTICA,7,True,26,32300.670485714294,47.498430687844596,47.80460453461004,-0.30617384676544646,51.456214612720096,54.058756353402096,-2.6025417406819997
XGBoost,CSD,HANCOCK,7,True,26,256735.15640000004,15.947851712183446,26.110034194366367,-10.16218248218292,16.426316363874236,29.108210410141698,-12.681894046267463
XGBoost,CSD,HARBOE,7,True,26,6625064.701242857,24.70334291129005,20.436995194761728,4.266347716528323,23.451213103600804,19.13281368929106,4.318399414309745
XGBoost,CSD,HARBOE OTHER,7,True,26,86755.71428571425,19.292248915262913,19.68102785530803,-0.3887789400451176,20.004258285909817,20.274515430918804,-0.270257145008987
XGBoost,CSD,HATA RAMUNE,7,True,26,1782.701257142857,51.69409874349443,30.182184711566336,21.511914031928093,53.237382830133676,30.85349981397714,22.383883016156535
XGBoost,CSD,HAWAI,7,True,26,120.71190000000001,33.44441952397418,36.89285613021692,-3.448436606242737,38.14402096299024,43.426803541117934,-5.282782578127694
XGBoost,CSD,INDI & CO,7,False,26,0.42857142857142855,295.6726084152857,156.37517025073367,139.29743816455203,76118510160.63599,37568947276.545456,38549562884.09053
XGBoost,CSD,JARRITOS,7,True,26,13988.22678571429,45.87866852108539,36.523649948866435,9.355018572218952,46.910652328529615,37.52639178392109,9.384260544608523
XGBoost,CSD,JOLLY,7,True,26,452330.5774428571,49.70065486954307,29.391718337981835,20.308936531561237,60.70429701827561,35.58244084809186,25.121856170183747
