category,model,tuned_for,trial,value,best
CSD,XGBoost,wmape,65,16.726080834782714,16.23799887932215
CSD,XGBoost,wmape,66,16.73625272564381,16.23799887932215
CSD,XGBoost,wmape,67,16.868943382396612,16.23799887932215
CSD,XGBoost,wmape,68,16.722940471060205,16.23799887932215
CSD,XGBoost,wmape,69,17.534093525984794,16.23799887932215
CSD,XGBoost,wmape,70,17.260172062404294,16.23799887932215
CSD,XGBoost,wmape,71,16.539839425634877,16.23799887932215
CSD,XGBoost,wmape,72,16.35590417505992,16.23799887932215
CSD,XGBoost,wmape,73,16.735771952210495,16.23799887932215
CSD,XGBoost,wmape,74,16.902474894104238,16.23799887932215
CSD,XGBoost,wmape,75,16.31437135033116,16.23799887932215
CSD,XGBoost,wmape,76,17.22829192675143,16.23799887932215
CSD,XGBoost,wmape,77,16.792146309152148,16.23799887932215
CSD,XGBoost,wmape,78,17.041079714033216,16.23799887932215
CSD,XGBoost,wmape,79,16.306865891694112,16.23799887932215
CSD,XGBoost,wmape,80,16.30661617399955,16.23799887932215
CSD,XGBoost,wmape,81,16.50067890974262,16.23799887932215
CSD,XGBoost,wmape,82,16.430542089627796,16.23799887932215
CSD,XGBoost,wmape,83,16.204799061185252,16.204799061185252
CSD,XGBoost,wmape,84,16.550519993485317,16.204799061185252
CSD,XGBoost,wmape,85,17.103970640795687,16.204799061185252
CSD,XGBoost,wmape,86,16.67922710553444,16.204799061185252
CSD,XGBoost,wmape,87,16.322239321908686,16.204799061185252
CSD,XGBoost,wmape,88,16.292175867829393,16.204799061185252
CSD,XGBoost,wmape,89,16.051457332521892,16.051457332521892
CSD,XGBoost,wmape,90,17.09034334269999,16.051457332521892
CSD,XGBoost,wmape,91,16.46669268192977,16.051457332521892
CSD,XGBoost,wmape,92,17.30768137168233,16.051457332521892
CSD,XGBoost,wmape,93,16.756362894294508,16.051457332521892
CSD,XGBoost,wmape,94,16.11451713831685,16.051457332521892
CSD,XGBoost,wmape,95,16.750959558433728,16.051457332521892
CSD,XGBoost,wmape,96,17.317002148956416,16.051457332521892
CSD,XGBoost,wmape,97,16.540894629340084,16.051457332521892
CSD,XGBoost,wmape,98,16.754579216520266,16.051457332521892
CSD,XGBoost,wmape,99,16.45591159734159,16.051457332521892
CSD,XGBoost,medmape,0,35.104171854560335,35.104171854560335
CSD,XGBoost,medmape,1,33.85551758491174,33.85551758491174
CSD,XGBoost,medmape,2,32.26417934032365,32.26417934032365
CSD,XGBoost,medmape,3,31.640349454404216,31.640349454404216
CSD,XGBoost,medmape,4,33.161196523722104,31.640349454404216
CSD,XGBoost,medmape,5,31.461022864689806,31.461022864689806
CSD,XGBoost,medmape,6,30.46877683753844,30.46877683753844
CSD,XGBoost,medmape,7,33.58956250699785,30.46877683753844
CSD,XGBoost,medmape,8,32.108956405576784,30.46877683753844
CSD,XGBoost,medmape,9,35.71346316320417,30.46877683753844
CSD,XGBoost,medmape,10,32.00368270468502,30.46877683753844
CSD,XGBoost,medmape,11,32.70456922176031,30.46877683753844
CSD,XGBoost,medmape,12,32.06066682583303,30.46877683753844
CSD,XGBoost,medmape,13,30.22140139395934,30.22140139395934
CSD,XGBoost,medmape,14,31.758771218639872,30.22140139395934
CSD,XGBoost,medmape,15,31.99986157567477,30.22140139395934
CSD,XGBoost,medmape,16,32.221962613670264,30.22140139395934
CSD,XGBoost,medmape,17,32.25457012330917,30.22140139395934
CSD,XGBoost,medmape,18,30.872363304626035,30.22140139395934
CSD,XGBoost,medmape,19,31.967802619870866,30.22140139395934
CSD,XGBoost,medmape,20,30.78045269494769,30.22140139395934
CSD,XGBoost,medmape,21,31.602830709990982,30.22140139395934
CSD,XGBoost,medmape,22,31.431496066585368,30.22140139395934
CSD,XGBoost,medmape,23,32.392144543542194,30.22140139395934
CSD,XGBoost,medmape,24,31.88516547743831,30.22140139395934
CSD,XGBoost,medmape,25,31.828362804407696,30.22140139395934
CSD,XGBoost,medmape,26,32.72449693756889,30.22140139395934
CSD,XGBoost,medmape,27,32.54434777279354,30.22140139395934
CSD,XGBoost,medmape,28,32.05191435267799,30.22140139395934
CSD,XGBoost,medmape,29,33.35405013797649,30.22140139395934
CSD,XGBoost,medmape,30,31.1425672207259,30.22140139395934
CSD,XGBoost,medmape,31,31.25744618676909,30.22140139395934
CSD,XGBoost,medmape,32,30.44582534507815,30.22140139395934
CSD,XGBoost,medmape,33,31.022815297134343,30.22140139395934
CSD,XGBoost,medmape,34,32.458818406366404,30.22140139395934
CSD,XGBoost,medmape,35,30.708320259252304,30.22140139395934
CSD,XGBoost,medmape,36,30.998681911327566,30.22140139395934
CSD,XGBoost,medmape,37,30.572603340596004,30.22140139395934
CSD,XGBoost,medmape,38,30.287533023840517,30.22140139395934
CSD,XGBoost,medmape,39,31.05111734649885,30.22140139395934
CSD,XGBoost,medmape,40,30.88649882047651,30.22140139395934
CSD,XGBoost,medmape,41,30.238930871223314,30.22140139395934
CSD,XGBoost,medmape,42,31.275312450781467,30.22140139395934
CSD,XGBoost,medmape,43,29.651754136988675,29.651754136988675
CSD,XGBoost,medmape,44,30.186974174925545,29.651754136988675
CSD,XGBoost,medmape,45,30.54652981219482,29.651754136988675
CSD,XGBoost,medmape,46,33.9364159632937,29.651754136988675
CSD,XGBoost,medmape,47,30.745070430122155,29.651754136988675
CSD,XGBoost,medmape,48,30.153513803465863,29.651754136988675
CSD,XGBoost,medmape,49,31.60013657592686,29.651754136988675
CSD,XGBoost,medmape,50,30.13958802586766,29.651754136988675
CSD,XGBoost,medmape,51,30.096083003612648,29.651754136988675
CSD,XGBoost,medmape,52,30.61625463507238,29.651754136988675
CSD,XGBoost,medmape,53,31.562552963643398,29.651754136988675
CSD,XGBoost,medmape,54,30.488106149854012,29.651754136988675
CSD,XGBoost,medmape,55,29.610599621410934,29.610599621410934
CSD,XGBoost,medmape,56,29.59376141195473,29.59376141195473
CSD,XGBoost,medmape,57,31.296622679635934,29.59376141195473
CSD,XGBoost,medmape,58,30.325436995558587,29.59376141195473
CSD,XGBoost,medmape,59,30.735454411399942,29.59376141195473
CSD,XGBoost,medmape,60,30.074997689022496,29.59376141195473
