category,ensemble,lower90,upper90,agreement,confidence,tier,actual,in_interval
CSD,5848524.3,839120.3,40763159.7,0.527,46.4,Moderate,5896275.2,True
CSD,5951711.9,853925.2,41482358.7,0.556,47.2,Moderate,5248761.2,True
CSD,15249293.6,2187902.6,106284827.5,0.473,44.8,Moderate,12916460.1,True
CSD,4610932.2,661555.9,32137365.7,0.538,46.7,Moderate,4667285.8,True
CSD,6883774.1,987653.5,47978664.3,0.718,52.1,Moderate,6500974.3,True
CSD,10398258.7,1491896.8,72473988.1,0.605,48.7,Moderate,8720435.9,True
CSD,23758115.0,3408711.9,165589779.2,0.408,42.8,Moderate,27661186.3,True
CSD,24834373.1,3563128.9,173091104.2,0.209,36.8,Low,24774638.7,True
CSD,33175244.5,4759841.5,231225475.0,0.666,50.6,Moderate,29572229.1,True
CSD,28775685.7,4128611.6,200561343.0,0.763,53.5,Moderate,20956996.2,True
CSD,25091995.7,3600091.5,174886687.6,0.825,55.3,Moderate,23475881.9,True
CSD,28874602.1,4142803.7,201250772.3,0.892,57.3,Moderate,34491360.7,True
CSD,25510145.9,3660085.9,177801119.2,0.573,47.8,Moderate,21716108.3,True
CSD,28118876.8,4034375.4,195983503.3,0.601,48.6,Moderate,22709795.8,True
CSD,45231536.1,6489626.8,315255655.2,0.813,54.9,Moderate,36021405.1,True
CSD,20492887.5,2940231.0,142831732.2,0.788,54.2,Moderate,24552531.4,True
CSD,29768679.5,4271082.1,207482330.9,0.458,44.3,Moderate,21493254.1,True
CSD,40341128.4,5787971.9,281170394.8,0.307,39.8,Low,36040745.1,True
CSD,60833.4,8727.1,423996.5,0.807,54.8,Moderate,60042.6,True
CSD,79790.8,11447.0,556126.4,0.761,53.4,Moderate,74818.2,True
CSD,93817.5,13459.5,653890.1,0.679,50.9,Moderate,115431.4,True
CSD,89169.1,12792.6,621491.5,0.705,51.7,Moderate,90752.0,True
CSD,94365.5,13538.2,657709.8,0.594,48.4,Moderate,74286.8,True
CSD,64098.0,9195.5,446750.3,0.773,53.8,Moderate,68502.0,True
CSD,53710.3,7705.1,374350.2,0.85,56.1,Moderate,43773.1,True
CSD,30860.6,4426.7,215091.5,0.882,57.0,Moderate,46369.4,True
CSD,67418.7,9671.9,469895.3,0.366,41.5,Moderate,118178.8,True
CSD,50042.4,7178.9,348785.4,0.335,40.6,Moderate,82193.7,True
CSD,70487.7,10112.3,491285.9,0.812,54.9,Moderate,43355.6,True
CSD,70695.4,10142.1,492733.3,0.561,47.4,Moderate,49819.7,True
CSD,2125539.7,304962.4,14814627.8,0.59,48.3,Moderate,1769040.8,True
CSD,1817475.2,260762.6,12667473.8,0.526,46.3,Moderate,1404180.5,True
CSD,2714713.6,389494.5,18921063.5,0.627,49.4,Moderate,2016000.4,True
CSD,2034786.2,291941.4,14182092.0,0.487,45.2,Moderate,1726532.5,True
CSD,1790393.1,256877.0,12478716.6,0.547,47.0,Moderate,1399307.0,True
